Puzzle,Solution
296001008850003600000090201905700000087002940000000010030000025470320109560007483,296541378851273694743698251915764832387152946624839517139486725478325169562917483
400802069900050800068047200200000100154030006690021058006000091000074600802090573,475812369921653847368947215287569134154738926693421758736285491519374682842196573
003000250100250763090700108000502306625308000300691420000406510000800607006910000,763184259148259763592763148914572386625348971387691425879436512431825697256917834
907000180100009000025108709090000000201040068856071000003000050400090000080063407,937426185148759623625138749394682571271945368856371294763814952412597836589263417
030004057148705900005090400003900000096058702000006380301080006589267034604001298,932614857148725963765893421813972645496358712257146389321489576589267134674531298
090030080020000700000807190700008253002070009080940670074300920205704018900215000,497631582821459736356827194749168253612573849583942671174386925265794318938215467
001924070400008300800061495180297603000180007672000109015043060048000500069852700,531924876496578321827361495184297653953186247672435189215743968748619532369852714
250041078308925460001080095400193850083062917192758630800006700730809026926570183,259641378378925461641387295467193852583462917192758634815236749734819526926574183
081204053594030006000009874075000238823095001406300700208000009140900062360500087,781264953594837126632159874975641238823795641416328795258476319147983562369512487
001600073250900000300000052000080019098001704702090305060005008037100006120360407,481652973256973841379814652643587219598231764712496385964725138837149526125368497
000700009907005231080000670470002950060009000510476028032040060704630802000528040,326714589947865231185293674473182956268359417519476328832947165754631892691528743
010627080000100000050040007148092006036010709200000008697003041005001070301900650,914627385763185294852349167148792536536418729279536418697253841425861973381974652
250801603409203810000905042041508306600730050000106004804002560006080100100009400,257841693469273815318965742941528376682734951735196284894312567526487139173659428
107009004902040570603700091090016730730490068060070409300581602008200000006900000,157629384982143576643758291294816735735492168861375429379581642418267953526934817
300081700081760030674300200800000029940570001103800000002018004000620800760000102,395281746281764935674395218857136429946572381123849567532918674419627853768453192
000000905284960010035000086509036700703009001428000090050071009000400002006000070,671328945284965317935714286519836724763249851428157693852671439197483562346592178
090360050000905083030081970729814005108030729000090810087053040012470500053128607,891367452276945183534281976729814365148536729365792814987653241612479538453128697
697500000002760930835000617001687003000000002580012000070145200900806351050300748,697531824412768935835294617241687593769453182583912476378145269924876351156329748
403000075500000492000457100106509080980300204700281956600700001000920007000618020,413892675578163492269457138126549783985376214734281956692735841851924367347618529
173904000500080002062710300635001080000850007000460200306590020758000100204130076,173924865549386712862715349635271984421859637987463251316597428758642193294138576
572809600160002090400630720020000050800400002000000034200067000601950087009000060,572819643163742598498635721324178956856493172917526834285367419631954287749281365
800620901000903000007080400086307500310200000000108062001850007062009000530006200,853624971124973856697581423286347519319265748475198362941852637762439185538716294
105803697000600010637900002300009046000130008000000100700490800003000401004387000,145823697928675314637914582381259746479136258562748139756491823893562471214387965
100507040007603109020000600049060083012000006008305400000900000704200500980031004,196527348857643129423819675549162783312478956678395412261954837734286591985731264
738042060514906800090003100005201004041830652076400310000000090109304780850609431,738142569514976823692583147385261974941837652276495318463718295129354786857629431
040050290263907805700800006001235080005060723004008600010080560400000019500109008,148653297263917845759842136671235984895461723324798651917384562482576319536129478
630090208000080067007000943000003009798642000001009426580461002162000004000900015,634197258925384167817256943246513789798642531351879426589461372162735894473928615
700000914501630800402091060000350070070409658600820403067042000000073080009568740,736285914591634827482791365948356172273419658615827493867142539154973286329568741
700000062051000700008790005395020007806930500104650000007086059600005071012070080,743518962951462738268793145395824617876931524124657893437186259689245371512379486
005069400009100070800007001050020080007000050360040010000090760200000030001206840,715369428649182573832457691154723986927618354368945217483591762296874135571236849
302056008586100423091000000054000701910040000260500890100905000000030069630200000,372456918586197423491382576854629731913748652267513894128965347745831269639274185
000700360409306071030051042040073000000294086070080100100830057058460000703019020,521748369489326571637951842846173295315294786972685134194832657258467913763519428
324018000589340612076029400702005000048200000050400207831000509090000006207903040,324618795589347612176529438712835964948276153653491287831764529495182376267953841
010497026007000084004528310126009008400283691839041050590874103081365249643902875,318497526257136984964528317126759438475283691839641752592874163781365249643912875
300800000704010000001079635106238059070901200030040080820004300490020070600385920,369852417754613892281479635146238759578961243932547186825794361493126578617385924
120069300637401895094000001401098000380000000759643200000784030270900084548312970,125869347637421895894537621461298753382175469759643218916784532273956184548312976
000914060030000079006030021007060030600097058598021040075102096304600280009053700,752914863431286579986735421147568932623497158598321647875142396314679285269853714
080062003709005000300410070000170582000004090007050406275001000600093751000047020,584762913719835264362419875493176582856324197127958436275681349648293751931547628
030005784020807901907000020209100003305906200000700695608009100700080059093002800,136295784524867931987431526269158473375946218841723695658379142712684359493512867
354070982082405000001900045095300400020046139103298576400109007270850003518000000,354671982982435761761982345695317428827546139143298576436129857279854613518763294
000015700000497615150080000903204150070039026064501390610000003720903000005026809,496315782832497615157682934983264157571839426264571398619758243728943561345126879
600090080020000039093710006306059200900020073005170968032087000009240017407501092,614392785728465139593718426376859241981624573245173968132987654859246317467531892
300090200269480531105320000617000400420800906000600100006900710702004008940768325,384195267269487531175326849617259483423871956598643172856932714732514698941768325
000000100005386900006070500703000006000060300050020000001008602000240059840690003,938452167175386924426179538783514296214967385659823471591738642367241859842695713
002600180006758000004100709045376018397500206001249050000830600000005002000010000,732694185916758423584123769245376918397581246861249357459832671173465892628917534
000036708000185002010200345900740501541009030837500400126300050005000003703000624,259436718374185962618297345962743581541869237837512496126374859495628173783951624
139042607050306010027000004000250400004000001302600805890403006000005148000000020,139542687458376912627189534916258473584937261372614895891423756263795148745861329
160000070700050192509000060907106820410800036006029050000504000040093200800001309,168942573734658192529317468957136824412875936386429751293584617641793285875261349
070060010480000006060070302012004897040300000007089200020090640096000173730810920,273568419481932756569471382312654897948327561657189234125793648896245173734816925
700504000805061000013900005004173060120048003000090070040750806079000540000030001,762584319895361427413927685954173268127648953638295174241759836379816542586432791
134297000900058020050003900429086130610000097073000680086374000705861040040509768,134297856967158423852643971429786135618435297573912684286374519795861342341529768
000080307000000500075064200647800100582000004930000780200000400000493020409001030,126985347894732516375164298647829153582317964931546782213658479758493621469271835
009000603050000410106000970300091000065002000802000007021500060098270005030910080,289147653753629418146358972374891526965732841812465397421583769698274135537916284
007050001000000000060971405903000008046080090500093010000018053000309004130007082,397254861451836729862971435913762548246185397578493216724618953685329174139547682
027050008009046007010000402103670200002518703050003006004802600200760000000134529,427951368389246157615387492143679285962518743758423916534892671291765834876134529
070034012359020000410006800000000947040300000008040105004007001000400200020183064,876934512359821476412756893263518947541379628798642135684297351137465289925183764
732148650150907238068503000097801460500290070241706805000302916629400083813679520,732148659154967238968523147397851462586294371241736895475382916629415783813679524
082006000045000080000850260004520908009360540001000673090000026000030000706004800,982476351645213789137859264364527918879361542251948673493785126518632497726194835
902000403010458792700900501000806050600045017500379000193004000260037040074690100,952761483316458792748923561427816359639245817581379624193584276265137948874692135
100260003609843002008000600900000030405000060700610090001076028090005310300190475,154269783679843152238751649916584237425937861783612594541376928897425316362198475
007000051456700008000856030010070026020689003600200079900040305178023964530908710,387492651456731298291856437819374526725689143643215879962147385178523964534968712
000030900183009700092007301000315040530098000000064090825400100061083072300000000,756132984183649725492857361679315248534298617218764593825476139961583472347921856
010090280692483700800000609003561824008000507050870391081004900705908432209036100,514697283692483715837125649973561824128349567456872391381254976765918432249736158
010372060768145209020000701072900086001000970006708002007890040034520198000403020,915372864768145239423689751572914386841236975396758412257891643634527198189463527
030105004700043000000000037000206000690080012002010600009760081460050023208431050,836175294725943168914628537143296875697584312582317649359762481461859723278431956
400083000017064803358170042500007400104026037060010000005038096001002080800001205,426583719917264853358179642582397461194826537763415928245738196671952384839641275
204800705130590800750003000409080503500700000000350927042970001010025090960130000,294861735136597842758243169479682513523719486681354927842976351317425698965138274
